hallmark,category,model,run,llm_n,matched_picks,hit
ADIPOGENESIS,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
ALLOGRAFT_REJECTION,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
ANDROGEN_RESPONSE,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
ANGIOGENESIS,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
APICAL_JUNCTION,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
APICAL_SURFACE,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
APOPTOSIS,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
BILE_ACID_METABOLISM,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
CHOLESTEROL_HOMEOSTASIS,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
COAGULATION,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,2,1
COMPLEMENT,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,2,1
DNA_REPAIR,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,2,1
E2F_TARGETS,indirect,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,9,0,0
EPITHELIAL_MESENCHYMAL_TRANSITION,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
ESTROGEN_RESPONSE_EARLY,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
ESTROGEN_RESPONSE_LATE,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
FATTY_ACID_METABOLISM,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,3,1
G2_M_CHECKPOINT,indirect,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
GLYCOLYSIS,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
HEDGEHOG_SIGNALING,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
HEME_METABOLISM,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
HYPOXIA,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
IL_2_STAT5_SIGNALING,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
IL_6_JAK_STAT3_SIGNALING,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
INFLAMMATORY_RESPONSE,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
INTERFERON_ALPHA_RESPONSE,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
INTERFERON_GAMMA_RESPONSE,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
KRAS_SIGNALING_DN,indirect,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
KRAS_SIGNALING_UP,indirect,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
MITOTIC_SPINDLE,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
MTORC1_SIGNALING,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
MYC_TARGETS_V1,indirect,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
MYC_TARGETS_V2,indirect,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
MYOGENESIS,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,4,1
NOTCH_SIGNALING,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
OXIDATIVE_PHOSPHORYLATION,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
P53_PATHWAY,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
PANCREAS_BETA_CELLS,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
PI3K_AKT_MTOR_SIGNALING,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
PPEROXISOME,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
PROTEIN_SECRETION,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
REACTIVE_OXYGEN_SPECIES_PATHWAY,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,2,1
SPERMATOGENESIS,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
TGF_BETA_SIGNALING,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
TNF_ALPHA_SIGNALING_VIA_NF_KB,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,9,0,0
UNFOLDED_PROTEIN_RESPONSE,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
UV_RESPONSE_DN,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
UV_RESPONSE_UP,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,0,0
WNT_BETA_CATENIN_SIGNALING,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
XENOBIOTIC_METABOLISM,direct,groq-gpt-oss-120b,groq-gpt-oss-120b-hallmark,10,1,1
ADIPOGENESIS,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
ALLOGRAFT_REJECTION,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
ANDROGEN_RESPONSE,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
ANGIOGENESIS,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
APICAL_JUNCTION,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
APICAL_SURFACE,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
APOPTOSIS,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,1,1
BILE_ACID_METABOLISM,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
CHOLESTEROL_HOMEOSTASIS,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,6,0,0
COAGULATION,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
COMPLEMENT,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,1,1
DNA_REPAIR,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,1,1
E2F_TARGETS,indirect,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
EPITHELIAL_MESENCHYMAL_TRANSITION,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
ESTROGEN_RESPONSE_EARLY,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
ESTROGEN_RESPONSE_LATE,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
FATTY_ACID_METABOLISM,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,2,1
G2_M_CHECKPOINT,indirect,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
GLYCOLYSIS,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
HEDGEHOG_SIGNALING,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
HEME_METABOLISM,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
HYPOXIA,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
IL_2_STAT5_SIGNALING,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
IL_6_JAK_STAT3_SIGNALING,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
INFLAMMATORY_RESPONSE,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,2,1,1
INTERFERON_ALPHA_RESPONSE,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,1,0,0
INTERFERON_GAMMA_RESPONSE,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
KRAS_SIGNALING_DN,indirect,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
KRAS_SIGNALING_UP,indirect,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
MITOTIC_SPINDLE,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,2,1
